respondent_id,date_of_birth,gender,county,dependents_category,all_direct_covered,willingness_to_pay,amount_selected,age,age_band
12029653843.0,1972-05-02,Male,Makueni,More than 4,No,Willing,"Kes 20,000 – Kes 30,000",54,46–55 years
12029607171.0,1978-09-03,Male,Lamu,More than 4,Yes,,"Kes 40,000 – Kes 50,000",47,46–55 years
12029570612.0,1972-12-07,Male,Wajir,More than 4,No,Willing,"Kes 10,000 – Kes 20,000",53,46–55 years
12029563043.0,1969-06-29,Male,Tharaka-Nithi,2-4,Yes,,,57,56–65 years
12029558366.0,1991-02-09,Female,Wajir,1-2,Yes,,,35,25–35 years
12029558328.0,1992-01-02,Male,Lamu,More than 4,No,Very unwilling,,34,25–35 years
12029554944.0,1991-09-01,Male,Wajir,No dependents,No,,,34,25–35 years
12029548413.0,1979-04-05,Female,Wajir,More than 4,No,Unwilling,,47,46–55 years
12029540128.0,1988-05-17,Male,Wajir,2-4,Yes,,,38,36–45 years
12029535080.0,1966-10-10,Male,Taita–Taveta,2-4,Yes,,,59,56–65 years
12029527182.0,1983-09-11,Male,Taita–Taveta,2-4,No,Unwilling,,42,36–45 years
12029527139.0,1969-11-05,Female,Narok,2-4,Yes,,,56,56–65 years
12029510077.0,1989-12-30,Male,Kiambu,More than 4,Yes,,,36,36–45 years
12029502036.0,1964-07-19,Female,Taita–Taveta,More than 4,No,Neutral,,62,56–65 years
12029496389.0,1974-10-12,Male,Makueni,More than 4,No,Neutral,,51,46–55 years
12029489448.0,1970-09-18,Male,Taita–Taveta,1-2,No,Unwilling,Less than 10000,55,46–55 years
12029492101.0,1978-12-03,Male,Taita–Taveta,2-4,Yes,,,47,46–55 years
12029490759.0,2020-09-29,Female,Makueni,1-2,No,Unwilling,,5,Less than 25 years
12029490134.0,1994-03-24,Female,Makueni,1-2,No,Unwilling,,32,25–35 years
12029486491.0,1972-03-13,Female,Taita–Taveta,2-4,No,Neutral,,54,46–55 years
12029488604.0,2020-09-29,Male,Busia,More than 4,Yes,,,5,Less than 25 years
12029483574.0,1970-02-08,Female,Kilifi,More than 4,Yes,,Less than 10000,56,56–65 years
12029476358.0,1965-05-07,Male,Nyandarua,2-4,No,Willing,"Kes 10,000 – Kes 20,000",61,56–65 years
12029473592.0,1970-03-10,Male,Taita–Taveta,2-4,No,Willing,"More than Kes 60,000",56,56–65 years
12029473062.0,1966-12-12,Male,Nyandarua,2-4,No,Neutral,,59,56–65 years
12029470773.0,2020-01-02,Male,Taita–Taveta,More than 4,Yes,,,6,Less than 25 years
12029467429.0,1963-08-19,Female,Taita–Taveta,2-4,No,Very willing,"Kes 40,000 – Kes 50,000",62,56–65 years
12029465189.0,1971-07-24,Female,Taita–Taveta,1-2,No,Willing,"Kes 10,000 – Kes 20,000",55,46–55 years
12029462549.0,1971-01-15,Male,Taita–Taveta,More than 4,No,Very willing,"Kes 10,000 – Kes 20,000",55,46–55 years
12029459360.0,1968-09-04,Male,Taita–Taveta,1-2,No,Unwilling,,57,56–65 years
12029458198.0,1965-03-16,Male,Kilifi,More than 4,Yes,,Less than 10000,61,56–65 years
12029453626.0,1990-07-31,Female,Taita–Taveta,1-2,Yes,,,36,36–45 years
12029440022.0,1983-07-09,Female,Tana River,More than 4,No,Unwilling,,43,36–45 years
12029436485.0,1971-05-14,Female,Machakos,1-2,No,Very willing,"Kes 40,000 – Kes 50,000",55,46–55 years
12029436485.0,1971-05-14,Female,Machakos,1-2,No,Very willing,Less than 10000,55,46–55 years
12029431812.0,1992-01-30,Female,Kakamega,1-2,Yes,,,34,25–35 years
12029418545.0,1983-12-29,Male,Kiambu,2-4,No,Willing,"Kes 10,000 – Kes 20,000",42,36–45 years
12029416162.0,1965-08-18,Male,Kwale,More than 4,No,Neutral,,60,56–65 years
12029415486.0,1968-10-15,Female,Kitui,No dependents,Yes,,,57,56–65 years
12029414716.0,1984-07-01,Female,Makueni,1-2,Yes,,,42,36–45 years
12029414502.0,1972-07-01,Male,Tana River,2-4,No,Unwilling,,54,46–55 years
12029410919.0,1995-08-10,Female,Tana River,1-2,Yes,,"Kes 10,000 – Kes 20,000",31,25–35 years
12029407047.0,1964-11-27,Female,Tana River,2-4,Yes,,,61,56–65 years
12029403070.0,1986-12-12,Male,Tana River,2-4,Yes,,,39,36–45 years
12029389901.0,1984-12-27,Male,Nairobi,2-4,Yes,,,41,36–45 years
12029388594.0,1987-02-27,Male,Siaya,More than 4,Yes,,,39,36–45 years
12029379755.0,1975-11-25,Female,Meru,2-4,Yes,,,50,46–55 years
12029378701.0,1983-09-19,Female,Nyeri,1-2,Yes,,,42,36–45 years
12029378502.0,1978-04-01,Male,Tana River,2-4,Yes,,,48,46–55 years
12029378336.0,1971-05-15,Female,Mombasa,2-4,No,Very unwilling,,55,46–55 years
12029376337.0,2020-09-20,Female,Machakos,1-2,No,Willing,,5,Less than 25 years
12029370778.0,1965-07-02,Female,Mombasa,2-4,No,Very unwilling,,61,56–65 years
12029369652.0,1990-06-25,Female,Meru,More than 4,No,Neutral,Less than 10000,36,36–45 years
12029368558.0,1983-10-01,Female,Mombasa,2-4,Yes,,,42,36–45 years
12029367823.0,1987-04-29,Female,Kiambu,More than 4,No,Very willing,"Kes 10,000 – Kes 20,000",39,36–45 years
12029366941.0,1988-08-02,Male,Embu,2-4,No,Willing,Less than 10000,38,36–45 years
12029364786.0,1975-09-24,Female,Makueni,More than 4,No,Very unwilling,Less than 10000,50,46–55 years
12029364088.0,2020-09-10,Male,Tharaka-Nithi,More than 4,No,Unwilling,,5,Less than 25 years
12029359445.0,1980-05-01,Male,Kiambu,2-4,No,Neutral,,46,46–55 years
12029340594.0,1969-06-19,Female,Makueni,2-4,No,Neutral,,57,56–65 years
